키,몸무게,목둘레,허리둘레,BMI,체지방율,기초대사량,기초대사량평가,머리수직길이,머리두께,머리너비,발너비,발직선길이,나이,성별
1657.0,51.7,,647.0,18.829792154787448,20.5,1257.0,표준,230.0,173.0,163.0,74.0,216.0,27,여
1711.0,65.4,,785.0,22.33972019329665,25.5,1422.0,표준,217.0,172.0,152.0,73.0,228.0,22,여
1637.0,45.3,,590.0,16.904442136617,17.4,1178.0,표준,217.0,182.0,145.0,74.0,213.0,20,여
1539.0,57.8,,780.0,24.403414620347466,31.8,1222.0,표준이하,216.0,172.0,150.0,80.0,211.0,55,여
1551.0,55.3,,820.0,22.9880183787752,35.1,1145.0,표준이하,207.0,171.0,157.0,80.0,212.0,56,여
1560.0,50.8,,640.0,20.874424720578563,23.4,1210.0,표준,255.0,179.0,160.0,70.0,214.0,19,여
1570.0,46.7,,681.0,18.94600186620147,21.3,1164.0,표준,208.0,181.0,150.0,67.0,209.0,44,여
1626.0,66.2,,899.0,25.038995777411646,31.5,1350.0,표준이하,210.0,183.0,151.0,89.0,230.0,60,여
1494.0,55.0,,855.0,24.64117962255089,36.4,1125.0,표준이하,216.0,171.0,147.0,70.0,212.0,64,여
1690.0,47.9,,641.0,16.771121459332658,23.4,1163.0,표준,208.0,186.0,157.0,70.0,228.0,20,여
1720.0,62.5,364.0,740.0,21.12628447809627,27.8,1345.0,표준,240.0,183.0,162.0,90.0,240.0,16,남
1657.0,59.2,335.0,712.0,21.56138676138137,21.8,1370.0,표준,225.0,186.0,148.0,86.0,250.0,16,남
1736.0,68.6,373.0,790.0,22.7627471383975,17.8,1589.0,표준,229.0,189.0,163.0,90.0,242.0,16,남
1626.0,55.8,348.0,755.0,21.105377105431565,24.0,1287.0,표준이하,223.0,183.0,152.0,80.0,234.0,16,남
1740.0,76.7,397.0,850.0,25.333597569031575,21.4,1673.0,표준,257.0,187.0,167.0,87.0,248.0,16,남
1738.0,60.0,350.0,675.0,19.863313915840465,10.3,1533.0,표준,242.0,192.0,159.0,91.0,266.0,16,남
1707.0,58.2,334.0,680.0,19.973581335203026,17.6,1406.0,표준,240.0,174.0,161.0,85.0,241.0,16,남
1754.0,58.0,355.0,686.0,18.852494184980674,10.0,1498.0,표준,232.0,196.0,167.0,82.0,234.0,16,남
1852.0,63.2,343.0,671.0,18.42617169460136,9.6,1603.0,표준,234.0,175.0,157.0,95.0,258.0,16,남
1615.0,52.2,324.0,673.0,20.013610788946508,11.2,1372.0,표준,225.0,174.0,160.0,85.0,226.0,16,남
1735.0,75.0,357.0,797.0,24.915081098588974,18.0,1699.0,표준,238.0,187.0,159.0,89.0,243.0,16,남
1718.0,73.8,370.0,846.0,25.00403181542823,20.2,1642.0,표준,241.0,190.0,161.0,88.0,234.0,16,남
1679.0,83.3,380.0,896.0,29.549055866871033,34.3,1553.0,표준이하,225.0,180.0,161.0,92.0,239.0,16,남
1730.0,67.7,363.0,755.0,22.6202011427044,14.0,1627.0,표준,231.0,186.0,160.0,93.0,250.0,16,남
1721.0,60.1,355.0,700.0,20.291433604977446,9.0,1552.0,표준,242.0,195.0,194.0,85.0,239.0,16,남
1736.0,79.9,389.0,915.0,26.512295865276393,27.5,1622.0,표준이하,238.0,194.0,169.0,90.0,255.0,16,남
1714.0,65.9,365.0,745.0,22.431782193181558,16.4,1560.0,표준,245.0,195.0,165.0,95.0,248.0,15,남
1710.0,57.6,334.0,694.0,19.698368728839647,8.8,1505.0,표준,240.0,188.0,155.0,83.0,228.0,16,남
1754.0,77.5,390.0,856.0,25.190832747172454,24.7,1631.0,표준이하,242.0,196.0,165.0,87.0,236.0,16,남
1795.0,57.3,334.0,651.0,17.7838471147803,10.4,1480.0,표준,252.0,176.0,159.0,86.0,241.0,16,남
1690.0,53.4,335.0,682.0,18.696824340884426,12.2,1383.0,표준,225.0,185.0,154.0,79.0,226.0,16,남
1614.0,55.9,340.0,732.0,21.458766155495052,14.1,1407.0,표준,234.0,176.0,153.0,87.0,223.0,15,남
1755.0,74.3,375.0,825.0,24.12318081833751,23.5,1597.0,표준이하,216.0,184.0,161.0,85.0,235.0,16,남
1756.0,55.6,331.0,667.0,18.03124724342443,8.7,1467.0,표준,230.0,178.0,156.0,92.0,247.0,16,남
1749.0,63.4,330.0,723.0,20.725720586557504,13.0,1562.0,표준,243.0,191.0,163.0,86.0,242.0,15,남
1811.0,111.4,400.0,1018.0,33.96630384108892,29.8,2059.0,표준이하,243.0,194.0,163.0,88.0,260.0,16,남
1756.0,71.3,375.0,831.0,23.122804468636005,16.6,1655.0,표준,228.0,184.0,161.0,83.0,245.0,16,남
1711.0,66.7,370.0,800.0,22.783781909677163,16.1,1580.0,표준,256.0,190.0,167.0,88.0,243.0,16,남
